"filename","source_folder","label","category"
"_gxXv5qlEdw_BBC News Blooper - Double lower third graphics (16.mp4","dataset/adv_fp_trap","real","broadcast_lower_third"
"15BHZzQpi7A_Scoreboard Overlays with BoxCast.mp4","dataset/adv_fp_trap","real","scoreboard_overlay"
"19Jc07yHp38_Subway Station Signs 2.mp4","dataset/adv_fp_trap","real","subway_signage"
"8CE95r6H3EU_Broadcast News Channel Lower third, Breaking News .mp4","dataset/adv_fp_trap","real","broadcast_lower_third"
"8l7Im155tZA_Billboard video ads sample(bb005).mp4","dataset/adv_fp_trap","real","billboard"
"9IlzCAsi4Kc_Football Overlay for Streaming – Ready-to-Use OBS .mp4","dataset/adv_fp_trap","real","other"
"CKQoXx6pqAA_Piccadilly Circus 3D billboard takeover ｜ Meta Que.mp4","dataset/adv_fp_trap","real","billboard"
"D3B4ElnlsnU_News Broadcast Lower Thirds.mp4","dataset/adv_fp_trap","real","broadcast_lower_third"
"DuoYYBh62-Q_billboard with a green screen on a streets Chroma .mp4","dataset/adv_fp_trap","real","billboard"
"f08KsMaoExY_Broadcast News Lower Thirds ｜ Elements - Envato el.mp4","dataset/adv_fp_trap","real","broadcast_lower_third"
"hrcguBOpBWU_BBC News Blooper - Lower third text error (8 Augus.mp4","dataset/adv_fp_trap","real","broadcast_lower_third"
"huQxvgACE8U_Broadcast Design News Lower Third Package2  Free D.mp4","dataset/adv_fp_trap","real","broadcast_lower_third"
"hZXxRQiCUJg_Lower Third Glitch - BBC News Channel - 0550BST - .mp4","dataset/adv_fp_trap","real","broadcast_lower_third"
"IqkCTjglMaQ_Broadcast News Lower Thirds V1.mp4","dataset/adv_fp_trap","real","broadcast_lower_third"
"kU2HicWg910_Broadcast News Channel Lower third, Breaking News .mp4","dataset/adv_fp_trap","real","broadcast_lower_third"
"lhDyjDb5gRQ_Times Square Video Billboard Ads - December 20, 20.mp4","dataset/adv_fp_trap","real","billboard"
"LQO4Q-1CHyM_Sports Broadcast Motion Design Sample ｜ Unreal Eng.mp4","dataset/adv_fp_trap","real","broadcast_lower_third"
"-mgsRRV-A7s_208x720 street billboard Ads.mp4","dataset/adv_fp_trap","real","billboard"
"nivQ3qH6bTQ_OBS Scoreboard Overlay for Soccer, Rugby & GAA (Fo.mp4","dataset/adv_fp_trap","real","scoreboard_overlay"
"NmNyD4BLXDQ_A Billboard With A Green Screen On A Busy Street 4.mp4","dataset/adv_fp_trap","real","billboard"
"NR7jNrTuE7A_Night Street Time Lapse with Billboard  Advertisem.mp4","dataset/adv_fp_trap","real","billboard"
"nZdan7fUiD0_How to Add a Manual Scoreboard to Your Broadcast.mp4","dataset/adv_fp_trap","real","broadcast_lower_third"
"ra3nUXu8bv4_How to Add Scoreboard, Team Lineup & Announcement .mp4","dataset/adv_fp_trap","real","scoreboard_overlay"
"RazaRUNb3w0_Broadcast News Opening Intro ｜ Green Screen Lower .mp4","dataset/adv_fp_trap","real","broadcast_lower_third"
"rmjhUP2q48g_BBC News Mock Lower Thirds 2024.mp4","dataset/adv_fp_trap","real","broadcast_lower_third"
"rQ-e1xJeIls_City Billboards - ADS Videos for your Business -.mp4","dataset/adv_fp_trap","real","billboard"
"sqhz-AHMRso_vMix - iSoccer Plus Package.mp4","dataset/adv_fp_trap","real","scoreboard_overlay"
"T5SWNL945IQ_City Harvest - Subway Apples ｜ Spot.mp4","dataset/adv_fp_trap","real","subway_signage"
"t9xByiuKnqo_Times Square Video Billboard Ads - October 18, 202.mp4","dataset/adv_fp_trap","real","billboard"
"tQ1cowPok04_BoxCast's Scoreboard Assist： How it Works.mp4","dataset/adv_fp_trap","real","scoreboard_overlay"
"wRzfrOVTmpI_London billboard advertising.mp4","dataset/adv_fp_trap","real","billboard"
"X_eyFsw-Jto_Broadcast News Opening Intro ｜ Green Screen Lower .mp4","dataset/adv_fp_trap","real","broadcast_lower_third"
"xl4kHzl9xps_BROADCAST NEWS LOWER THIRDS ｜｜  ✔ ( No Copyright V.mp4","dataset/adv_fp_trap","real","broadcast_lower_third"
"Xx_6vZOm5VM_Video clip of the digital billboard In Los Angeles.mp4","dataset/adv_fp_trap","real","billboard"
"XxZv6EeBzyU_People Walk By Metro Station Stock Video.mp4","dataset/adv_fp_trap","real","subway_signage"
"yhZGmljMHJA_Broadcast News Lower Thirds   MOGRT for Premiere P.mp4","dataset/adv_fp_trap","real","broadcast_lower_third"
